time,X[s],Avanti sensor 2: ACC.X 2,Avanti sensor 2: ACC.Y 2,Avanti sensor 2: ACC.Z 2,Avanti sensor 2: GYRO.X 2,Avanti sensor 2: GYRO.Y 2,Avanti sensor 2: GYRO.Z 2
12:01.0,0.14175,0.421875,-1.03125,0.0092773,-51.34146,13.17073,-5.670732
12:01.0,0.1485,0.4995117,-0.9614258,-0.1572266,-50,4.939024,-8.597561
12:01.0,0.15525,0.4516602,-0.9550781,-0.3061523,-52.7439,2.317073,-15.60976
12:01.0,0.162,0.3022461,-0.9838867,-0.371582,-51.21951,0.9146342,-23.96342
12:01.0,0.16875,0.109375,-1.000977,-0.3588867,-43.90244,3.780488,-30.36585
12:01.0,0.1755,-0.074707,-0.9819336,-0.3642578,-34.02439,3.47561,-32.5
12:01.0,0.18225,-0.2128906,-0.9770508,-0.3671875,-27.43903,-4.329268,-30.67073
12:01.0,0.189,-0.3310547,-0.9916992,-0.3442383,-25.73171,-7.865854,-26.76829
12:01.0,0.19575,-0.4272461,-1.01709,-0.3554688,-25.36585,-11.95122,-22.0122
12:01.0,0.2025,-0.4501953,-1.026855,-0.3720703,-26.09756,-21.58537,-17.07317
12:01.0,0.20925,-0.4321289,-1.052734,-0.3710938,-22.43902,-36.82927,-11.89024
12:01.0,0.216,-0.3417969,-1.04541,-0.3398438,-14.5122,-53.47561,-7.987805
12:01.0,0.22275,-0.2290039,-0.9931641,-0.3291016,-10.91463,-59.69512,-5.731708
12:01.0,0.2295,-0.1347656,-0.9638672,-0.3310547,-10.18293,-55.85366,-4.573171
12:01.0,0.23625,-0.0429688,-0.9609375,-0.3525391,-10.36585,-52.31707,-4.634146
12:01.0,0.243,0.0361328,-0.9716797,-0.3417969,-11.34146,-43.59756,-5.54878
12:01.0,0.24975,0.1064453,-0.987793,-0.3256836,-11.95122,-35.30488,-6.219512
12:01.0,0.2565,0.1855469,-1.001953,-0.331543,-13.71951,-26.03659,-6.280488
12:01.0,0.26325,0.2290039,-1.015137,-0.3291016,-15.06098,-15.12195,-6.402439
12:01.0,0.27,0.237793,-1.01123,-0.3222656,-15.06098,-6.097561,-6.646342
12:01.0,0.27675,0.2163086,-0.9936523,-0.3046875,-13.41463,2.317073,-6.829268
12:01.0,0.2835,0.1557617,-0.965332,-0.2993164,-10.36585,11.64634,-7.743903
12:01.0,0.29025,0.0878906,-0.9423828,-0.3178711,-9.390244,18.59756,-8.597561
12:01.0,0.297,0.0214844,-0.9404297,-0.324707,-10.30488,22.07317,-9.695122
12:01.0,0.30375,-0.0048828,-0.940918,-0.3217773,-11.40244,23.47561,-10.67073
12:01.0,0.3105,-0.0576172,-0.9487305,-0.3242188,-13.04878,25,-11.70732
12:01.0,0.31725,-0.1088867,-0.956543,-0.3393555,-14.7561,25.79268,-12.0122
12:01.0,0.324,-0.15625,-0.9692383,-0.3383789,-15.67073,24.14634,-11.70732
12:01.0,0.33075,-0.1948242,-0.9765625,-0.3334961,-16.52439,22.68293,-11.21951
12:01.0,0.3375,-0.2275391,-0.980957,-0.3251953,-17.37805,22.37805,-10.67073
12:01.0,0.34425,-0.2529297,-0.9956055,-0.3198242,-19.5122,24.08537,-9.390244
12:01.0,0.351,-0.2587891,-1.009766,-0.3037109,-21.52439,27.2561,-7.439024
12:01.0,0.35775,-0.2470703,-1.016602,-0.265625,-22.80488,29.45122,-5.304878
12:01.0,0.3645,-0.21875,-1.013184,-0.2348633,-23.90244,28.29268,-3.170732
12:01.0,0.37125,-0.1723633,-1.026855,-0.215332,-23.78049,24.69512,-1.95122
12:01.0,0.378,-0.1201172,-1.043457,-0.2084961,-21.89024,24.5122,-1.402439
12:01.0,0.38475,-0.0678711,-1.054199,-0.1728516,-20.4878,28.65854,-1.036585
12:01.0,0.3915,-0.0307617,-1.062012,-0.1293945,-18.04878,34.63415,-0.4878049
12:01.0,0.39825,-0.0161133,-1.062988,-0.1123047,-15.85366,41.52439,0.4878049
12:01.0,0.405,-0.0024414,-1.069336,-0.0864258,-14.02439,50.54878,1.707317
12:01.0,0.41175,-0.0053711,-1.069336,-0.0737305,-12.43902,59.63415,3.170732
12:01.0,0.4185,-0.012207,-1.072754,-0.1064453,-10.2439,66.21951,3.963415
12:01.0,0.42525,-0.027832,-1.077148,-0.1508789,-9.146341,72.68293,2.926829
12:01.0,0.432,-0.0771484,-1.083984,-0.1645508,-9.146341,74.81708,2.195122
12:01.0,0.43875,-0.137207,-1.094238,-0.1826172,-8.292683,77.98781,1.707317
12:01.0,0.4455,-0.1875,-1.103027,-0.1948242,-6.585366,80.36585,2.073171
12:01.0,0.45225,-0.2197266,-1.097656,-0.2148438,-3.780488,79.57317,3.170732
12:01.0,0.459,-0.2285156,-1.060547,-0.2509766,-0.0609756,77.68293,3.841464
12:01.0,0.46575,-0.2241211,-1.006348,-0.3076172,3.292683,76.34147,4.02439
12:01.0,0.4725,-0.1987305,-0.9570313,-0.355957,4.573171,73.35366,3.719512
12:01.0,0.47925,-0.1645508,-0.9223633,-0.3828125,3.902439,69.7561,2.926829
12:01.1,0.486,-0.1342773,-0.9121094,-0.3999023,2.865854,68.17073,1.890244
12:01.1,0.49275,-0.1152344,-0.9111328,-0.4208984,2.621951,68.65854,0.9146342
12:01.1,0.4995,-0.1074219,-0.9091797,-0.4331055,1.707317,67.31708,-0.6707317
12:01.1,0.50625,-0.0966797,-0.9116211,-0.4516602,-0.0609756,63.17073,-2.439024
12:01.1,0.513,-0.1005859,-0.9174805,-0.4580078,-2.073171,57.37805,-3.841464
12:01.1,0.51975,-0.1088867,-0.9350586,-0.456543,-3.536585,50.36586,-4.756098
12:01.1,0.5265,-0.1118164,-0.9511719,-0.4423828,-3.47561,42.80488,-4.756098
12:01.1,0.53325,-0.0898438,-0.9667969,-0.4277344,-3.04878,39.20732,-4.45122
12:01.1,0.54,-0.0551758,-0.9780273,-0.4082031,-2.743902,31.40244,-3.780488
12:01.1,0.54675,-0.0117188,-0.980957,-0.3759766,-2.560976,23.10976,-3.658537
12:01.1,0.5535,0.015625,-0.9750977,-0.3500977,-2.134146,16.58537,-4.085366
12:01.1,0.56025,0.0390625,-0.9633789,-0.328125,-1.890244,12.62195,-4.817073
